problema;  modelo;  num_jobs;  num_maquina;  fl_inteiro;  best_bound;  funcao_objetivo;  mip_relative_gap; number_of_contraints; number_of_variables; number_of_var_values; nb_iterations; nb_linear_nonzeros; status; time; has_hit_limit 
ID004_M020_J020; minla_fav; 20; 20; True; 1372.0227736512875; 1847.0; 0.25716146526729117; 23980; 4201; 2197; 50492246; 70360; time limit exceeded; 3600.0185940265656; True;  
ID004_M020_J020; manne; 20; 20; False; nan; 1170.0; nan; 8000; 4201; 2411; 2410; 23600; optimal; 0.08552885055541992; False;  
ID004_M020_J020; minla_fav; 20; 20; False; nan; 1298.2718074729887; nan; 23980; 4201; 2377; 8632; 70360; optimal; 0.2715339660644531; False;  
ID005_M020_J020; manne; 20; 20; True; 1323.1639344262294; 1747.0; 0.2426079367909252; 8000; 4201; 2400; 59576156; 23600; time limit exceeded; 3600.013638973236; True;  
ID005_M020_J020; minla_fav; 20; 20; True; 1338.6962783407087; 1947.0; 0.3124312900150283; 23980; 4201; 2147; 41870719; 70360; time limit exceeded; 3600.0236558914185; True;  
ID005_M020_J020; manne; 20; 20; False; nan; 1207.0; nan; 8000; 4201; 2517; 2516; 23600; optimal; 0.06709098815917969; False;  
ID005_M020_J020; minla_fav; 20; 20; False; nan; 1276.4427523632908; nan; 23980; 4201; 2435; 9228; 70360; optimal; 0.265671968460083; False;  
ID006_M020_J020; manne; 20; 20; True; 1419.0; 1779.9999999999989; 0.20280898876403303; 8000; 4201; 2218; 65078368; 23600; time limit exceeded; 3600.0130848884583; True;  
ID006_M020_J020; minla_fav; 20; 20; True; 1387.2411423201224; 1871.0; 0.25855631089249154; 23980; 4201; 2143; 44275685; 70360; time limit exceeded; 3600.0108411312103; True;  
ID006_M020_J020; manne; 20; 20; False; nan; 1291.0; nan; 8000; 4201; 2417; 2416; 23600; optimal; 0.07640695571899414; False;  
ID006_M020_J020; minla_fav; 20; 20; False; nan; 1291.0; nan; 23980; 4201; 2455; 9289; 70360; optimal; 0.27541685104370117; False;  
ID007_M020_J020; manne; 20; 20; True; 1391.1273167222034; 1693.0; 0.17830636933123375; 8000; 4201; 2259; 62830290; 23600; time limit exceeded; 3600.0110940933228; True;  
ID007_M020_J020; minla_fav; 20; 20; True; 1319.613156906763; 1803.0; 0.2681014104787633; 23980; 4201; 2201; 38126320; 70360; time limit exceeded; 3600.0111799240112; True;  
ID007_M020_J020; manne; 20; 20; False; nan; 1221.0; nan; 8000; 4201; 2428; 2427; 23600; optimal; 0.07020401954650879; False;  
ID007_M020_J020; minla_fav; 20; 20; False; nan; 1246.3309552320347; nan; 23980; 4201; 2382; 9814; 70360; optimal; 0.300875186920166; False;  
ID008_M020_J020; manne; 20; 20; True; 1350.9999999999993; 1786.0; 0.2435610302351491; 8000; 4201; 2348; 57159925; 23600; time limit exceeded; 3600.0105299949646; True;  
ID008_M020_J020; minla_fav; 20; 20; True; 1372.4457175964324; 1933.0; 0.289991868806797; 23980; 4201; 2237; 45582344; 70360; time limit exceeded; 3600.0118770599365; True;  
ID008_M020_J020; manne; 20; 20; False; nan; 1227.0; nan; 8000; 4201; 2432; 2431; 23600; optimal; 0.06410503387451172; False;  
ID008_M020_J020; minla_fav; 20; 20; False; nan; 1253.4698634343306; nan; 23980; 4201; 2722; 32; 70360; optimal; 0.32997894287109375; False;  
ID009_M020_J020; manne; 20; 20; True; 1362.9098414077773; 1748.999999816406; 0.22074909002237553; 8000; 4201; 2138; 62377082; 23600; time limit exceeded; 3600.012966156006; True;  
ID009_M020_J020; minla_fav; 20; 20; True; 1348.2088121438078; 1813.0; 0.25636579583903285; 23980; 4201; 2185; 50385333; 70360; time limit exceeded; 3600.0181851387024; True;  
